T;Ax;Ay;Az;CLASS
17086.00;0.06;0.14;0.77;Positive
17137.00;-0.48;0.01;0.91;Negative
17186.00;0.01;-0.01;1.24;Negative
17236.00;0.05;0.06;0.80;Negative
17286.00;-0.02;0.08;1.07;Negative
17335.00;-0.04;0.05;1.03;Negative
17386.00;-0.04;0.06;1.02;Negative
17436.00;-0.03;0.06;1.04;Negative
17487.00;-0.04;0.05;1.02;Negative
17535.00;-0.04;0.06;1.02;Negative
17586.00;-0.03;0.05;1.03;Negative
17635.00;-0.03;0.05;1.03;Negative
17686.00;-0.03;0.05;1.02;Negative
17752.00;-0.03;0.04;1.03;Negative
17802.00;-0.03;0.06;1.02;Negative
17853.00;-0.04;0.04;1.03;Negative
17902.00;-0.02;0.05;1.03;Negative
17952.00;-0.03;0.06;1.03;Negative
18002.00;-0.03;0.06;1.03;Negative
18053.00;-0.04;0.05;1.02;Negative
18102.00;-0.04;0.05;1.03;Negative
18153.00;-0.03;0.05;1.02;Negative
18203.00;-0.05;0.06;1.02;Negative
18253.00;-0.03;0.05;1.01;Negative
18301.00;-0.04;0.05;1.01;Negative
18352.00;-0.03;0.04;1.03;Negative
18402.00;-0.04;0.05;1.01;Negative
18452.00;-0.03;0.05;1.03;Negative
18519.00;-0.03;0.05;1.01;Negative
18552.00;-0.02;0.05;1.02;Negative
18620.00;-0.04;0.05;1.02;Negative
18669.00;-0.03;0.05;1.03;Negative
18719.00;-0.03;0.06;1.02;Negative
18769.00;-0.03;0.06;1.03;Negative
18819.00;-0.04;0.05;1.03;Negative
18869.00;-0.02;0.06;1.03;Negative
18919.00;-0.03;0.04;1.03;Negative
18969.00;-0.02;0.05;1.03;Negative
19020.00;-0.02;0.04;1.03;Negative
19069.00;-0.02;0.05;1.03;Negative
19120.00;-0.02;0.05;1.02;Negative
19169.00;-0.03;0.04;1.02;Negative
19219.00;-0.03;0.06;1.02;Negative
19269.00;-0.02;0.05;1.02;Negative
19325.00;-0.03;0.06;1.03;Negative
19370.00;-0.03;0.05;1.02;Negative
19435.00;-0.03;0.05;1.03;Negative
19485.00;-0.04;0.06;1.03;Negative
19535.00;-0.03;0.06;1.02;Negative
19586.00;-0.03;0.06;1.03;Negative
19634.00;-0.02;0.05;1.02;Negative
19685.00;-0.03;0.05;1.03;Negative
19734.00;-0.03;0.04;1.03;Negative
19785.00;-0.02;0.05;1.02;Negative
19835.00;-0.03;0.05;1.02;Negative
19885.00;-0.03;0.05;1.02;Negative
19934.00;-0.02;0.04;1.02;Negative
19984.00;-0.02;0.06;1.03;Negative
20034.00;-0.03;0.05;1.02;Negative
20084.00;-0.03;0.05;1.02;Negative
20134.00;-0.03;0.05;1.02;Negative
20200.00;-0.03;0.06;1.02;Negative
20251.00;-0.03;0.05;1.02;Negative
20300.00;-0.03;0.06;1.03;Negative
20350.00;-0.04;0.05;1.02;Negative
20400.00;-0.03;0.06;1.03;Negative
20450.00;-0.03;0.04;1.02;Negative
20500.00;-0.03;0.05;1.01;Negative
20550.00;-0.02;0.04;1.03;Negative
20600.00;-0.04;0.05;1.02;Negative
20650.00;-0.02;0.04;1.02;Negative
20699.00;-0.02;0.05;1.03;Negative
20750.00;-0.03;0.05;1.03;Negative
20800.00;-0.03;0.06;1.02;Negative
20850.00;-0.03;0.05;1.03;Negative
20899.00;-0.02;0.04;1.02;Negative
20950.00;-0.02;0.04;1.02;Negative
21017.00;-0.04;0.05;1.02;Negative
21066.00;-0.03;0.05;1.02;Negative
21116.00;-0.03;0.05;1.04;Negative
21166.00;-0.03;0.05;1.01;Negative
21216.00;-0.02;0.05;1.02;Negative
21266.00;-0.02;0.05;1.02;Negative
21316.00;-0.03;0.06;1.03;Negative
21366.00;-0.03;0.05;1.02;Negative
21416.00;-0.03;0.06;1.02;Negative
21466.00;-0.02;0.04;1.03;Negative
21516.00;-0.02;0.05;1.03;Negative
21566.00;-0.02;0.05;1.03;Negative
21617.00;-0.04;0.05;1.02;Negative
21665.00;-0.04;0.05;1.03;Negative
21716.00;-0.04;0.04;1.03;Negative
21765.00;-0.02;0.04;1.02;Negative
21816.00;-0.02;0.06;1.02;Negative
21882.00;-0.03;0.05;1.03;Negative
21931.00;-0.04;0.04;1.03;Negative
21982.00;-0.03;0.05;1.02;Negative
22032.00;-0.04;0.04;1.02;Negative
22082.00;-0.04;0.05;1.02;Negative
22132.00;-0.03;0.05;1.03;Negative
22182.00;-0.02;0.04;1.02;Negative
22232.00;-0.03;0.04;1.01;Negative
22282.00;-0.03;0.05;1.02;Negative
22331.00;-0.03;0.05;1.03;Negative
22382.00;-0.03;0.04;1.03;Negative
22431.00;-0.04;0.05;1.03;Negative
22481.00;-0.03;0.05;1.03;Negative
22531.00;-0.03;0.06;1.02;Negative
22582.00;-0.03;0.05;1.03;Negative
22648.00;-0.02;0.04;1.02;Negative
22698.00;-0.02;0.05;1.01;Negative
22748.00;-0.03;0.06;1.03;Negative
22798.00;-0.04;0.05;1.03;Negative
22848.00;-0.02;0.05;1.02;Negative
22898.00;-0.02;0.04;1.02;Negative
22948.00;-0.03;0.05;1.01;Negative
22997.00;-0.03;0.04;1.02;Negative
23048.00;-0.03;0.04;1.03;Negative
23098.00;-0.04;0.04;1.03;Negative
23148.00;-0.03;0.05;1.02;Negative
23197.00;-0.03;0.05;1.03;Negative
23248.00;-0.03;0.05;1.02;Negative
23297.00;-0.04;0.04;1.03;Negative
23348.00;-0.02;0.04;1.02;Negative
23397.00;-0.04;0.05;1.02;Negative
23448.00;-0.03;0.04;1.02;Negative
23514.00;-0.02;0.05;1.01;Negative
23564.00;-0.03;0.05;1.02;Negative
23614.00;-0.03;0.05;1.03;Negative
23665.00;-0.02;0.04;1.03;Negative
23717.00;-0.02;0.04;1.02;Negative
23766.00;-0.03;0.05;1.03;Negative
23816.00;-0.03;0.05;1.01;Negative
23866.00;-0.02;0.06;1.03;Negative
23915.00;-0.04;0.05;1.02;Negative
23965.00;-0.03;0.05;1.02;Negative
24014.00;-0.03;0.05;1.02;Negative
24064.00;-0.03;0.05;1.03;Negative
24114.00;-0.04;0.05;1.02;Negative
24164.00;-0.02;0.04;1.03;Negative
24214.00;-0.02;0.05;1.02;Negative
24263.00;-0.03;0.04;1.02;Negative
24314.00;-0.03;0.05;1.03;Negative
24380.00;-0.03;0.05;1.03;Negative
24429.00;-0.04;0.05;1.03;Negative
24480.00;-0.02;0.05;1.03;Negative
24530.00;-0.02;0.05;1.02;Negative
24580.00;-0.03;0.04;1.02;Negative
24630.00;-0.02;0.06;1.03;Negative
24681.00;-0.03;0.05;1.02;Negative
24729.00;-0.03;0.06;1.02;Negative
24780.00;-0.03;0.05;1.02;Negative
24829.00;-0.02;0.05;1.03;Negative
24880.00;-0.02;0.05;1.02;Negative
24929.00;-0.03;0.05;1.03;Negative
24981.00;-0.02;0.06;1.02;Negative
25031.00;-0.03;0.04;1.04;Negative
25081.00;-0.03;0.05;1.03;Negative
25146.00;-0.03;0.07;1.02;Negative
25196.00;-0.03;0.05;1.03;Negative
25246.00;-0.02;0.06;1.03;Negative
25296.00;-0.04;0.05;1.02;Negative
25346.00;-0.03;0.05;1.02;Negative
25396.00;-0.03;0.05;1.03;Negative
25446.00;-0.03;0.05;1.03;Negative
25496.00;-0.01;0.06;1.04;Negative
25546.00;-0.03;0.06;1.02;Negative
25595.00;-0.03;0.04;1.03;Negative
25646.00;-0.02;0.05;1.02;Negative
25695.00;-0.02;0.05;1.02;Negative
25746.00;-0.02;0.06;1.03;Negative
25795.00;-0.03;0.05;1.03;Negative
25845.00;-0.03;0.05;1.02;Negative
25896.00;-0.03;0.05;1.03;Negative
25946.00;-0.04;0.05;1.02;Negative
26012.00;-0.03;0.05;1.03;Negative
26062.00;-0.02;0.04;1.02;Negative
26112.00;-0.02;0.07;1.02;Negative
26162.00;-0.02;0.03;1.03;Negative
26212.00;-0.03;0.05;1.03;Negative
26262.00;-0.03;0.05;1.02;Negative
26312.00;-0.03;0.05;1.03;Negative
26362.00;-0.04;0.06;1.03;Negative
26412.00;-0.03;0.05;1.02;Negative
26462.00;-0.03;0.05;1.01;Negative
26512.00;-0.02;0.04;1.03;Negative
26562.00;-0.03;0.06;1.02;Negative
26612.00;-0.03;0.05;1.02;Negative
26661.00;-0.03;0.05;1.02;Negative
26712.00;-0.03;0.05;1.03;Negative
26778.00;-0.03;0.05;1.01;Negative
26828.00;-0.02;0.05;1.02;Negative
26878.00;-0.03;0.05;1.02;Negative
26928.00;-0.02;0.05;1.02;Negative
26978.00;-0.03;0.04;1.04;Negative
27028.00;-0.01;0.04;1.02;Negative
27078.00;-0.03;0.05;1.02;Negative
27128.00;-0.04;0.05;1.02;Negative
27178.00;-0.04;0.04;1.02;Negative
27227.00;-0.03;0.04;1.03;Negative
27278.00;-0.02;0.06;1.03;Negative
27327.00;-0.03;0.05;1.01;Negative
27378.00;-0.02;0.05;1.02;Negative
27428.00;-0.04;0.04;1.03;Negative
27478.00;-0.03;0.05;1.03;Negative
27527.00;-0.04;0.07;1.01;Negative
27578.00;-0.03;0.06;1.03;Negative
27644.00;-0.04;0.05;1.02;Negative
27694.00;-0.03;0.05;1.04;Negative
27744.00;-0.03;0.04;1.02;Negative
27794.00;-0.03;0.05;1.03;Negative
27844.00;-0.03;0.05;1.01;Negative
27894.00;-0.04;0.05;1.02;Negative
27944.00;-0.04;0.05;1.02;Negative
27994.00;-0.03;0.05;1.03;Negative
28044.00;-0.03;0.05;1.03;Negative
28096.00;-0.03;0.06;1.01;Negative
28145.00;-0.02;0.04;1.02;Negative
28193.00;-0.04;0.05;1.02;Negative
28244.00;-0.04;0.05;1.03;Negative
28293.00;-0.03;0.04;1.03;Negative
28344.00;-0.04;0.06;1.02;Negative
28393.00;-0.04;0.05;1.02;Negative
28444.00;-0.02;0.05;1.03;Negative
28510.00;-0.03;0.04;1.04;Negative
28560.00;-0.02;0.05;1.04;Negative
28611.00;-0.04;0.05;1.03;Negative
28660.00;-0.03;0.05;1.01;Negative
28710.00;-0.02;0.05;1.02;Negative
28760.00;-0.04;0.06;1.01;Negative
28810.00;-0.03;0.04;1.02;Negative
28860.00;-0.04;0.07;1.03;Negative
28910.00;-0.03;0.04;1.03;Negative
28960.00;-0.01;0.06;1.01;Negative
29010.00;-0.04;0.06;1.02;Negative
29059.00;-0.04;0.05;1.03;Negative
29110.00;-0.03;0.05;1.02;Negative
29159.00;-0.03;0.04;1.02;Negative
29211.00;-0.03;0.04;1.03;Negative
29261.00;-0.04;0.06;1.02;Negative
29327.00;-0.04;0.05;1.01;Negative
29377.00;-0.02;0.04;1.03;Negative
29426.00;-0.03;0.05;1.02;Negative
29476.00;-0.03;0.05;1.03;Negative
29525.00;-0.05;0.05;1.03;Negative
29576.00;-0.02;0.04;1.03;Negative
29626.00;-0.03;0.06;1.02;Negative
29676.00;-0.06;-0.02;1.02;Negative
29725.00;-0.03;0.02;1.05;Negative
