T;Ax;Ay;Az;CLASS
20889.00;0.50;-0.19;0.94;Positive
20940.00;-0.18;0.15;1.27;Positive
20989.00;-0.33;0.12;1.33;Positive
21055.00;-0.08;-0.09;0.97;Positive
21105.00;0.25;0.11;0.56;Positive
21156.00;-0.12;-0.09;1.27;Positive
21204.00;0.13;0.28;1.44;Positive
21257.00;-0.01;0.10;1.08;Positive
21306.00;-0.01;0.04;1.02;Positive
21358.00;-0.07;-0.02;1.03;Positive
21406.00;-0.01;-0.02;1.01;
21457.00;0.03;-0.00;1.02;
21505.00;0.01;-0.00;1.03;
21555.00;-0.02;0.00;1.05;
21604.00;0.01;-0.00;1.03;
21658.00;0.01;0.01;1.03;
21704.00;-0.00;0.00;1.03;
21756.00;-0.00;-0.01;1.03;
21805.00;-0.00;0.01;1.03;
21857.00;-0.01;0.00;1.02;
21922.00;-0.01;0.01;1.02;
21970.00;-0.00;-0.00;1.04;
22024.00;0.00;0.01;1.01;
22071.00;-0.01;-0.00;1.02;
22121.00;-0.01;0.01;1.02;
22168.00;-0.00;0.00;1.01;
22221.00;-0.01;0.00;1.03;
22269.00;-0.00;0.01;1.02;
22320.00;-0.01;-0.01;1.03;
22369.00;-0.01;-0.00;1.02;
22421.00;0.01;0.00;1.03;
22472.00;-0.00;0.01;1.03;
22523.00;-0.03;0.01;1.02;
22570.00;-0.00;0.01;1.02;
22622.00;-0.00;0.01;1.03;
22672.00;-0.00;0.01;1.03;
22722.00;-0.01;0.00;1.03;
22789.00;-0.01;-0.00;1.02;
22837.00;0.01;0.01;1.02;
22888.00;-0.01;0.01;1.04;
22937.00;-0.00;-0.01;1.02;
22987.00;-0.01;0.00;1.03;
23037.00;-0.02;0.01;1.02;
23089.00;-0.01;-0.01;1.03;
23138.00;0.00;-0.02;1.03;
23189.00;0.00;0.01;1.02;
23238.00;-0.00;0.00;1.02;
23289.00;-0.00;0.01;1.02;
23338.00;-0.00;-0.01;1.02;
23386.00;-0.00;0.01;1.03;
23450.00;-0.00;0.01;1.02;
23499.00;-0.00;0.00;1.04;
23552.00;-0.02;0.00;1.04;
23600.00;0.01;0.00;1.03;
23650.00;-0.01;-0.01;1.04;
23699.00;0.00;0.01;1.01;
23754.00;-0.02;0.01;1.02;
23802.00;-0.01;0.00;1.02;
23852.00;-0.00;0.01;1.01;
23903.00;-0.01;0.00;1.05;
23955.00;-0.01;0.00;1.03;
24003.00;-0.01;0.00;1.03;
24054.00;-0.01;-0.01;1.02;
24104.00;0.00;-0.00;1.02;
24156.00;-0.01;0.00;1.02;
24204.00;-0.00;0.00;1.02;
24255.00;-0.01;-0.00;1.03;
24322.00;-0.00;0.00;1.04;
24354.00;-0.01;0.00;1.03;
24422.00;0.00;0.01;1.02;
24469.00;-0.00;0.00;1.03;
24521.00;-0.01;0.00;1.02;
24569.00;0.00;0.01;1.02;
24621.00;-0.00;-0.00;1.02;
24670.00;-0.00;-0.00;1.03;
24717.00;-0.01;0.01;1.03;
24765.00;0.00;-0.00;1.03;
24817.00;-0.01;0.00;1.04;
24867.00;-0.00;-0.00;1.02;
24918.00;0.00;-0.01;1.02;
24983.00;-0.02;0.01;1.01;
25018.00;-0.01;0.00;1.03;
25086.00;0.00;0.01;1.02;
25134.00;-0.01;-0.00;1.02;
25184.00;-0.01;0.00;1.03;
25234.00;0.01;-0.00;1.03;
25284.00;-0.00;-0.00;1.04;
25333.00;-0.00;0.00;1.02;
25384.00;0.00;0.01;1.02;
25433.00;0.00;-0.01;1.02;
25486.00;-0.02;-0.00;1.02;
25534.00;-0.01;0.00;1.03;
25584.00;-0.01;-0.01;1.02;
25635.00;-0.00;-0.00;1.03;
25684.00;0.00;0.01;1.02;
25733.00;-0.00;0.01;1.02;
25783.00;-0.01;0.01;1.02;
25832.00;-0.01;0.01;1.03;
25886.00;-0.00;-0.00;1.03;
25935.00;-0.01;0.00;1.03;
25987.00;-0.00;-0.01;1.02;
26053.00;-0.01;0.00;1.03;
26100.00;-0.01;-0.00;1.03;
26154.00;-0.01;-0.00;1.03;
26203.00;-0.00;0.02;1.02;
26253.00;-0.01;-0.00;1.02;
26299.00;-0.02;0.00;1.03;
26354.00;-0.01;0.00;1.02;
26401.00;0.00;0.00;1.04;
26454.00;0.01;0.00;1.02;
26501.00;-0.01;0.01;1.02;
26551.00;-0.01;-0.00;1.03;
26600.00;0.00;0.01;1.04;
26652.00;-0.00;0.01;1.02;
26700.00;-0.00;0.00;1.03;
26752.00;-0.01;0.01;1.02;
26818.00;-0.01;-0.01;1.02;
26866.00;-0.02;-0.01;1.03;
26918.00;-0.00;-0.01;1.02;
26965.00;-0.00;0.00;1.03;
27016.00;-0.02;0.00;1.03;
27065.00;0.01;0.00;1.03;
27117.00;-0.01;0.00;1.03;
27165.00;0.01;0.00;1.03;
27218.00;-0.03;-0.00;1.03;
27269.00;-0.01;0.01;1.03;
27319.00;-0.00;0.00;1.03;
27368.00;-0.01;0.00;1.03;
27418.00;-0.01;-0.00;1.03;
27465.00;-0.01;-0.01;1.03;
27518.00;-0.00;-0.00;1.03;
27567.00;0.00;-0.00;1.02;
27633.00;-0.01;-0.00;1.04;
27686.00;-0.01;0.00;1.03;
27719.00;-0.00;-0.01;1.04;
27784.00;-0.01;-0.01;1.03;
27834.00;-0.01;-0.01;1.03;
27884.00;-0.00;0.01;1.02;
27932.00;-0.00;0.00;1.02;
27985.00;-0.00;-0.01;1.02;
